,industry_freq,sub_freq,type_freq,city_freq,Actual_Funded,industry_vertical,sub_vertical,city_location,investment_type,funded_prediction
2790,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.10235920852359208,True,hyperlocalmobilemarketplace,unknown,gurgaon,privateequity,True
1079,0.11377473363774733,0.00076103500761035,0.4284627092846271,0.14117199391171995,True,ecommerce,onlineteaetailer,newdelhi,seedfunding,True
2078,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.3002283105022831,False,consumerinternet,dealdiscoveryapp,bangalore,privateequity,True
2105,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.03576864535768645,False,technology,codingskillshowcase&resumebuilder,hyderabad,seedfunding,True
1954,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,onlinehouseholdproductrentalplatform,bangalore,seedfunding,True
1224,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.10235920852359208,True,consumerinternet,"onlinefood,groceryordering&delivery",gurgaon,seedfunding,True
1426,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.000380517503805175,True,technology,travelticketbookingsoftware,kerala,seedfunding,False
2766,0.001141552511415525,0.1997716894977169,0.4585235920852359,0.1997716894977169,True,onlineeducationplatform,unknown,mumbai,privateequity,True
1197,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.14117199391171995,True,technology,aibasedsoftwareasaservicesolutionprovider,newdelhi,seedfunding,False
1646,0.3569254185692542,0.00076103500761035,0.4585235920852359,0.3002283105022831,True,consumerinternet,onlineticketbookingplatform,bangalore,privateequity,True
942,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,consumerinternet,gadgetinsurance&repairservicesplatform,mumbai,privateequity,True
1873,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.1997716894977169,True,consumerinternet,doctordiscoveryandbookingplatform,mumbai,seedfunding,True
710,0.3569254185692542,0.001141552511415525,0.4284627092846271,0.3002283105022831,False,consumerinternet,healthyfooddeliveryplatform,bangalore,seedfunding,False
1135,0.11377473363774733,0.00076103500761035,0.4585235920852359,0.14117199391171995,True,ecommerce,fashionappareletailer,newdelhi,privateequity,True
158,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,consumerinternet,onlinegamingplatform,mumbai,privateequity,True
2048,0.3569254185692542,0.00076103500761035,0.4284627092846271,0.10235920852359208,True,consumerinternet,carpoolingmobileapp,gurgaon,seedfunding,True
123,0.00076103500761035,0.00076103500761035,0.4284627092846271,0.00076103500761035,True,onlinemarketplace,ecommerce,nagpur,seedfunding,True
1219,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.10235920852359208,False,consumerinternet,onlinetravelportal,gurgaon,seedfunding,True
2298,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.011035007610350075,True,fashionjewelryandaccessoriesetailer,unknown,jaipur,privateequity,True
568,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.14117199391171995,False,technology,credit+paymentmobileapp,newdelhi,seedfunding,False
2658,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,educationalboardgames,unknown,bangalore,seedfunding,True
876,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,saasplatformforsmes,bangalore,seedfunding,False
290,0.007229832572298325,0.000380517503805175,0.04946727549467275,0.01293759512937595,True,edtech,mobilebasededucationnetwork,delhi,seed/angelfunding,True
549,0.3569254185692542,0.001141552511415525,0.4585235920852359,0.14117199391171995,True,consumerinternet,onlineinsuranceaggregator,newdelhi,privateequity,True
1413,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,doctor&clinicdiscoveryplatform,bangalore,seedfunding,True
2729,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.14117199391171995,True,mobilechatbasedconciergeservice,unknown,newdelhi,privateequity,True
745,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.14117199391171995,False,technology,locationtrackingsolutions,newdelhi,privateequity,True
918,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.04033485540334855,False,technology,softwaresolutionsforautodealership,pune,seedfunding,False
1499,0.3569254185692542,0.0015220700152207,0.4585235920852359,0.3002283105022831,False,consumerinternet,onlinepaymentgateway,bangalore,privateequity,True
1190,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.14117199391171995,False,consumerinternet,healthcareservicescomparisonplatform,newdelhi,seedfunding,False
115,0.00076103500761035,0.000380517503805175,0.00076103500761035,0.10235920852359208,True,hospitality,budgetrooms,gurgaon,equity,True
2515,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.032343987823439876,True,careercommunityforwomen,unknown,noida,seedfunding,True
2649,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,hyperlocalfood&grocerystore,unknown,bangalore,seedfunding,True
1101,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.14117199391171995,False,technology,loyaltyprogrammanagementsolutions,newdelhi,privateequity,True
2257,0.00076103500761035,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,healthtechplatform,unknown,bangalore,seedfunding,True
1399,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.0334855403348554,False,consumerinternet,eventregistrationandticketingplatform,chennai,privateequity,True
688,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.04033485540334855,True,consumerinternet,salon&spaaggregation&discoveryplatform,pune,privateequity,True
139,0.000380517503805175,0.000380517503805175,0.4284627092846271,0.01902587519025875,False,socialnetwork,art,gurugram,seedfunding,True
91,0.11377473363774733,0.000380517503805175,0.000380517503805175,0.01293759512937595,False,ecommerce,fashionandshopping,delhi,bridgeround,True
294,0.02359208523592085,0.007990867579908675,0.00989345509893455,0.01902587519025875,True,finance,onlinelendingplatform,gurugram,debtfunding,True
209,0.3569254185692542,0.0015220700152207,0.4585235920852359,0.1997716894977169,True,consumerinternet,onlineconsumerlendingplatform,mumbai,privateequity,True
1478,0.027777777777777776,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,healthcare,healthandfitnesscentres,bangalore,privateequity,True
579,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.10235920852359208,True,technology,edutechplatform,gurgaon,seedfunding,False
1167,0.11377473363774733,0.000380517503805175,0.4284627092846271,0.14117199391171995,False,ecommerce,babycareproductsseller,newdelhi,seedfunding,False
616,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.3002283105022831,False,technology,omnichannelwebcommercesolutionsprovider,bangalore,privateequity,True
2606,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.14117199391171995,True,warrantyprogramsserviceadministration,unknown,newdelhi,seedfunding,True
